Pavarde        Vardas         Galutinis(vid./med.)     
Vardas51273    Pavarde51273   9.2                      
Vardas88038    Pavarde88038   9.2                      
Vardas2888     Pavarde2888    9.2                      
Vardas99178    Pavarde99178   9.2                      
Vardas52425    Pavarde52425   9.2                      
Vardas21851    Pavarde21851   9.2                      
Vardas31991    Pavarde31991   9.2                      
Vardas72394    Pavarde72394   9.2                      
Vardas63255    Pavarde63255   9.2                      
Vardas43358    Pavarde43358   9.2                      
Vardas52319    Pavarde52319   9.2                      
Vardas9805     Pavarde9805    9.2                      
Vardas39571    Pavarde39571   9.2                      
Vardas67251    Pavarde67251   9.2                      
Vardas59804    Pavarde59804   9.2                      
Vardas46770    Pavarde46770   9.2                      
Vardas86044    Pavarde86044   9.2                      
Vardas96965    Pavarde96965   9.2                      
Vardas88898    Pavarde88898   9.2                      
Vardas30333    Pavarde30333   9.2                      
Vardas21269    Pavarde21269   9.2                      
Vardas37202    Pavarde37202   9.2                      
Vardas81496    Pavarde81496   9.2                      
Vardas58336    Pavarde58336   9.2                      
Vardas53686    Pavarde53686   9.2                      
Vardas43865    Pavarde43865   9.2                      
Vardas48916    Pavarde48916   9.2                      
Vardas28370    Pavarde28370   9.2                      
Vardas77749    Pavarde77749   9.2                      
Vardas89725    Pavarde89725   9.2                      
Vardas52988    Pavarde52988   9.2                      
Vardas52616    Pavarde52616   9.2                      
Vardas56396    Pavarde56396   9.2                      
Vardas52526    Pavarde52526   9.2                      
Vardas72891    Pavarde72891   9.2                      
Vardas86106    Pavarde86106   9.2                      
Vardas53939    Pavarde53939   9.2                      
Vardas99172    Pavarde99172   9.2                      
Vardas88626    Pavarde88626   9.2                      
Vardas74213    Pavarde74213   9.2                      
Vardas18403    Pavarde18403   9.2                      
Vardas48336    Pavarde48336   9.2                      
Vardas62169    Pavarde62169   9.2                      
Vardas5811     Pavarde5811    9.2                      
Vardas9243     Pavarde9243    9.2                      
Vardas67957    Pavarde67957   9.2                      
Vardas41472    Pavarde41472   9.2                      
Vardas5305     Pavarde5305    9.2                      
Vardas80760    Pavarde80760   9.2                      
Vardas8545     Pavarde8545    9.2                      
Vardas26181    Pavarde26181   9.2                      
Vardas9214     Pavarde9214    9.2                      
Vardas92719    Pavarde92719   9.2                      
Vardas56670    Pavarde56670   9.2                      
Vardas12594    Pavarde12594   9.2                      
Vardas51340    Pavarde51340   9.2                      
Vardas54329    Pavarde54329   9.2                      
Vardas35190    Pavarde35190   9.2                      
Vardas32505    Pavarde32505   9.2                      
Vardas2609     Pavarde2609    9.2                      
Vardas36501    Pavarde36501   9.2                      
Vardas62817    Pavarde62817   9.2                      
Vardas44778    Pavarde44778   9.2                      
Vardas90060    Pavarde90060   9.2                      
Vardas37500    Pavarde37500   9.2                      
Vardas78758    Pavarde78758   9.2                      
Vardas46965    Pavarde46965   9.2                      
Vardas92225    Pavarde92225   9.2                      
Vardas53083    Pavarde53083   9.2                      
Vardas99958    Pavarde99958   9.2                      
Vardas57910    Pavarde57910   9.2                      
Vardas27545    Pavarde27545   9.2                      
Vardas11690    Pavarde11690   9.2                      
Vardas66368    Pavarde66368   9.1                      
Vardas93632    Pavarde93632   9.1                      
Vardas48737    Pavarde48737   9.1                      
Vardas5741     Pavarde5741    9.1                      
Vardas48892    Pavarde48892   9.1                      
Vardas55385    Pavarde55385   9.1                      
Vardas78317    Pavarde78317   9.1                      
Vardas59756    Pavarde59756   9.1                      
Vardas40561    Pavarde40561   9.1                      
Vardas77453    Pavarde77453   9.1                      
Vardas28242    Pavarde28242   9.1                      
Vardas67750    Pavarde67750   9.1                      
Vardas59730    Pavarde59730   9.1                      
Vardas8678     Pavarde8678    9.1                      
Vardas49430    Pavarde49430   9.1                      
Vardas27847    Pavarde27847   9.1                      
Vardas769      Pavarde769     9.1                      
Vardas41152    Pavarde41152   9.1                      
Vardas99368    Pavarde99368   9.1                      
Vardas35800    Pavarde35800   9.1                      
Vardas8282     Pavarde8282    9.1                      
Vardas28827    Pavarde28827   9.1                      
Vardas49673    Pavarde49673   9.1                      
Vardas35648    Pavarde35648   9.1                      
Vardas44690    Pavarde44690   9.1                      
Vardas34318    Pavarde34318   9.1                      
Vardas92879    Pavarde92879   9.1                      
Vardas18189    Pavarde18189   9.1                      
Vardas23486    Pavarde23486   9.1                      
Vardas33936    Pavarde33936   9.1                      
Vardas9502     Pavarde9502    9.1                      
Vardas38384    Pavarde38384   9.1                      
Vardas65541    Pavarde65541   9.1                      
Vardas4587     Pavarde4587    9.1                      
Vardas99526    Pavarde99526   9.1                      
Vardas44959    Pavarde44959   9.1                      
Vardas24992    Pavarde24992   9.1                      
Vardas78416    Pavarde78416   9.1                      
Vardas25380    Pavarde25380   9.1                      
Vardas34278    Pavarde34278   9.1                      
Vardas87433    Pavarde87433   9.1                      
Vardas67233    Pavarde67233   9.1                      
Vardas28598    Pavarde28598   9.1                      
Vardas18737    Pavarde18737   9.1                      
Vardas34653    Pavarde34653   9.1                      
Vardas99301    Pavarde99301   9.1                      
Vardas74157    Pavarde74157   9.1                      
Vardas95940    Pavarde95940   9.1                      
Vardas13889    Pavarde13889   9.1                      
Vardas12691    Pavarde12691   9.1                      
Vardas52496    Pavarde52496   9.1                      
Vardas93131    Pavarde93131   9.1                      
Vardas96109    Pavarde96109   9.1                      
Vardas13997    Pavarde13997   9.1                      
Vardas39627    Pavarde39627   9.1                      
Vardas23968    Pavarde23968   9.1                      
Vardas80214    Pavarde80214   9.1                      
Vardas61467    Pavarde61467   9.1                      
Vardas26172    Pavarde26172   9.1                      
Vardas32763    Pavarde32763   9.1                      
Vardas41720    Pavarde41720   9.1                      
Vardas59245    Pavarde59245   9.1                      
Vardas51194    Pavarde51194   9.1                      
Vardas81469    Pavarde81469   9.1                      
Vardas63851    Pavarde63851   9.1                      
Vardas95966    Pavarde95966   9.1                      
Vardas93499    Pavarde93499   9.1                      
Vardas1773     Pavarde1773    9.1                      
Vardas27188    Pavarde27188   9.1                      
Vardas7509     Pavarde7509    9.1                      
Vardas99579    Pavarde99579   9.1                      
Vardas25515    Pavarde25515   9.1                      
Vardas14102    Pavarde14102   9.1                      
Vardas73232    Pavarde73232   9.1                      
Vardas16033    Pavarde16033   9.1                      
Vardas16082    Pavarde16082   9.1                      
Vardas64283    Pavarde64283   9.1                      
Vardas73402    Pavarde73402   9.1                      
Vardas70631    Pavarde70631   9.1                      
Vardas73679    Pavarde73679   9.1                      
Vardas64187    Pavarde64187   9.1                      
Vardas94480    Pavarde94480   9.1                      
Vardas96140    Pavarde96140   9.1                      
Vardas89791    Pavarde89791   9.1                      
Vardas26195    Pavarde26195   9.1                      
Vardas54275    Pavarde54275   9.1                      
Vardas73253    Pavarde73253   9.1                      
Vardas14088    Pavarde14088   9.1                      
Vardas32546    Pavarde32546   9.1                      
Vardas13703    Pavarde13703   9.1                      
Vardas82292    Pavarde82292   9.1                      
Vardas21152    Pavarde21152   9.1                      
Vardas73032    Pavarde73032   9.1                      
Vardas24222    Pavarde24222   9.1                      
Vardas30516    Pavarde30516   9.1                      
Vardas53964    Pavarde53964   9.1                      
Vardas3128     Pavarde3128    9.1                      
Vardas3130     Pavarde3130    9.1                      
Vardas37673    Pavarde37673   9.1                      
Vardas97052    Pavarde97052   9.1                      
Vardas13848    Pavarde13848   9.1                      
Vardas75149    Pavarde75149   9.1                      
Vardas65234    Pavarde65234   9.1                      
Vardas33288    Pavarde33288   9.1                      
Vardas17087    Pavarde17087   9.1                      
Vardas15215    Pavarde15215   9.1                      
Vardas20435    Pavarde20435   9.1                      
Vardas63303    Pavarde63303   9.1                      
Vardas46202    Pavarde46202   9.1                      
Vardas52938    Pavarde52938   9.1                      
Vardas11767    Pavarde11767   9.1                      
Vardas17303    Pavarde17303   9.1                      
Vardas59898    Pavarde59898   9.1                      
Vardas29538    Pavarde29538   9.1                      
Vardas58791    Pavarde58791   9.1                      
Vardas5850     Pavarde5850    9.1                      
Vardas90418    Pavarde90418   9.1                      
Vardas27405    Pavarde27405   9.1                      
Vardas75352    Pavarde75352   9.1                      
Vardas23928    Pavarde23928   9.1                      
Vardas75445    Pavarde75445   9.1                      
Vardas23672    Pavarde23672   9.1                      
Vardas14747    Pavarde14747   9.1                      
Vardas14767    Pavarde14767   9.1                      
Vardas5718     Pavarde5718    9.1                      
Vardas85940    Pavarde85940   9.1                      
Vardas20290    Pavarde20290   9.1                      
Vardas69483    Pavarde69483   9.1                      
Vardas63       Pavarde63      9.1                      
Vardas45942    Pavarde45942   9.1                      
Vardas17034    Pavarde17034   9.1                      
Vardas47575    Pavarde47575   9.1                      
Vardas33279    Pavarde33279   9.1                      
Vardas86117    Pavarde86117   9.1                      
Vardas3481     Pavarde3481    9.1                      
Vardas43480    Pavarde43480   9.1                      
Vardas30808    Pavarde30808   9.1                      
Vardas14134    Pavarde14134   9.1                      
Vardas9801     Pavarde9801    9.1                      
Vardas78789    Pavarde78789   9.1                      
Vardas3126     Pavarde3126    9.1                      
Vardas59370    Pavarde59370   9.1                      
Vardas37911    Pavarde37911   9.1                      
Vardas58361    Pavarde58361   9.1                      
Vardas52109    Pavarde52109   9.1                      
Vardas38118    Pavarde38118   9.1                      
Vardas22890    Pavarde22890   9                        
Vardas31797    Pavarde31797   9                        
Vardas78097    Pavarde78097   9                        
Vardas72264    Pavarde72264   9                        
Vardas87641    Pavarde87641   9                        
Vardas40798    Pavarde40798   9                        
Vardas15062    Pavarde15062   9                        
Vardas43582    Pavarde43582   9                        
Vardas40084    Pavarde40084   9                        
Vardas49161    Pavarde49161   9                        
Vardas92826    Pavarde92826   9                        
Vardas66950    Pavarde66950   9                        
Vardas71289    Pavarde71289   9                        
Vardas28305    Pavarde28305   9                        
Vardas35059    Pavarde35059   9                        
Vardas30934    Pavarde30934   9                        
Vardas85548    Pavarde85548   9                        
Vardas22821    Pavarde22821   9                        
Vardas87467    Pavarde87467   9                        
Vardas52524    Pavarde52524   9                        
Vardas94891    Pavarde94891   9                        
Vardas53518    Pavarde53518   9                        
Vardas83750    Pavarde83750   9                        
Vardas56363    Pavarde56363   9                        
Vardas72500    Pavarde72500   9                        
Vardas28459    Pavarde28459   9                        
Vardas1093     Pavarde1093    9                        
Vardas14247    Pavarde14247   9                        
Vardas31001    Pavarde31001   9                        
Vardas43433    Pavarde43433   9                        
Vardas22471    Pavarde22471   9                        
Vardas70219    Pavarde70219   9                        
Vardas22555    Pavarde22555   9                        
Vardas3527     Pavarde3527    9                        
Vardas69328    Pavarde69328   9                        
Vardas50895    Pavarde50895   9                        
Vardas87122    Pavarde87122   9                        
Vardas44385    Pavarde44385   9                        
Vardas76006    Pavarde76006   9                        
Vardas44624    Pavarde44624   9                        
Vardas11991    Pavarde11991   9                        
Vardas86757    Pavarde86757   9                        
Vardas76154    Pavarde76154   9                        
Vardas50812    Pavarde50812   9                        
Vardas39150    Pavarde39150   9                        
Vardas91133    Pavarde91133   9                        
Vardas12087    Pavarde12087   9                        
Vardas10761    Pavarde10761   9                        
Vardas49926    Pavarde49926   9                        
Vardas95577    Pavarde95577   9                        
Vardas86658    Pavarde86658   9                        
Vardas49893    Pavarde49893   9                        
Vardas42969    Pavarde42969   9                        
Vardas50260    Pavarde50260   9                        
Vardas75616    Pavarde75616   9                        
Vardas1518     Pavarde1518    9                        
Vardas42766    Pavarde42766   9                        
Vardas75611    Pavarde75611   9                        
Vardas75591    Pavarde75591   9                        
Vardas23275    Pavarde23275   9                        
Vardas11421    Pavarde11421   9                        
Vardas68623    Pavarde68623   9                        
Vardas11481    Pavarde11481   9                        
Vardas38875    Pavarde38875   9                        
Vardas17519    Pavarde17519   9                        
Vardas50564    Pavarde50564   9                        
Vardas87042    Pavarde87042   9                        
Vardas11268    Pavarde11268   9                        
Vardas68546    Pavarde68546   9                        
Vardas33391    Pavarde33391   9                        
Vardas33380    Pavarde33380   9                        
Vardas68506    Pavarde68506   9                        
Vardas44407    Pavarde44407   9                        
Vardas30219    Pavarde30219   9                        
Vardas62850    Pavarde62850   9                        
Vardas16342    Pavarde16342   9                        
Vardas29367    Pavarde29367   9                        
Vardas62855    Pavarde62855   9                        
Vardas12937    Pavarde12937   9                        
Vardas40194    Pavarde40194   9                        
Vardas3081     Pavarde3081    9                        
Vardas76954    Pavarde76954   9                        
Vardas25830    Pavarde25830   9                        
Vardas86507    Pavarde86507   9                        
Vardas70310    Pavarde70310   9                        
Vardas55992    Pavarde55992   9                        
Vardas91003    Pavarde91003   9                        
Vardas49427    Pavarde49427   9                        
Vardas70447    Pavarde70447   9                        
Vardas77115    Pavarde77115   9                        
Vardas98688    Pavarde98688   9                        
Vardas54220    Pavarde54220   9                        
Vardas92289    Pavarde92289   9                        
Vardas34294    Pavarde34294   9                        
Vardas12374    Pavarde12374   9                        
Vardas39257    Pavarde39257   9                        
Vardas10630    Pavarde10630   9                        
Vardas69799    Pavarde69799   9                        
Vardas68192    Pavarde68192   9                        
Vardas69857    Pavarde69857   9                        
Vardas69909    Pavarde69909   9                        
Vardas74296    Pavarde74296   9                        
Vardas28996    Pavarde28996   9                        
Vardas13380    Pavarde13380   9                        
Vardas51345    Pavarde51345   9                        
Vardas25842    Pavarde25842   9                        
Vardas74248    Pavarde74248   9                        
Vardas42552    Pavarde42552   9                        
Vardas67991    Pavarde67991   9                        
Vardas90541    Pavarde90541   9                        
Vardas16454    Pavarde16454   9                        
Vardas90547    Pavarde90547   9                        
Vardas95551    Pavarde95551   9                        
Vardas62965    Pavarde62965   9                        
Vardas7497     Pavarde7497    9                        
Vardas45546    Pavarde45546   9                        
Vardas80107    Pavarde80107   9                        
Vardas47467    Pavarde47467   9                        
Vardas78597    Pavarde78597   9                        
Vardas48482    Pavarde48482   9                        
Vardas36446    Pavarde36446   9                        
Vardas45673    Pavarde45673   9                        
Vardas27054    Pavarde27054   9                        
Vardas78521    Pavarde78521   9                        
Vardas89829    Pavarde89829   9                        
Vardas19665    Pavarde19665   9                        
Vardas78476    Pavarde78476   9                        
Vardas35501    Pavarde35501   9                        
Vardas41766    Pavarde41766   9                        
Vardas64397    Pavarde64397   9                        
Vardas83421    Pavarde83421   9                        
Vardas9011     Pavarde9011    9                        
Vardas6620     Pavarde6620    9                        
Vardas80984    Pavarde80984   9                        
Vardas58058    Pavarde58058   9                        
Vardas19542    Pavarde19542   9                        
Vardas64191    Pavarde64191   9                        
Vardas81057    Pavarde81057   9                        
Vardas63245    Pavarde63245   9                        
Vardas81098    Pavarde81098   9                        
Vardas57367    Pavarde57367   9                        
Vardas92714    Pavarde92714   9                        
Vardas78890    Pavarde78890   9                        
Vardas92366    Pavarde92366   9                        
Vardas95107    Pavarde95107   9                        
Vardas20047    Pavarde20047   9                        
Vardas91656    Pavarde91656   9                        
Vardas88968    Pavarde88968   9                        
Vardas78764    Pavarde78764   9                        
Vardas88006    Pavarde88006   9                        
Vardas615      Pavarde615     9                        
Vardas65459    Pavarde65459   9                        
Vardas7971     Pavarde7971    9                        
Vardas36022    Pavarde36022   9                        
Vardas9225     Pavarde9225    9                        
Vardas7899     Pavarde7899    9                        
Vardas61575    Pavarde61575   9                        
Vardas79558    Pavarde79558   9                        
Vardas20420    Pavarde20420   9                        
Vardas89570    Pavarde89570   9                        
Vardas20500    Pavarde20500   9                        
Vardas36247    Pavarde36247   9                        
Vardas4696     Pavarde4696    9                        
Vardas7631     Pavarde7631    9                        
Vardas60074    Pavarde60074   9                        
Vardas20661    Pavarde20661   9                        
Vardas64997    Pavarde64997   9                        
Vardas21627    Pavarde21627   9                        
Vardas78200    Pavarde78200   9                        
Vardas46058    Pavarde46058   9                        
Vardas114      Pavarde114     9                        
Vardas35266    Pavarde35266   9                        
Vardas37464    Pavarde37464   9                        
Vardas22104    Pavarde22104   9                        
Vardas63954    Pavarde63954   9                        
Vardas5550     Pavarde5550    9                        
Vardas26441    Pavarde26441   9                        
Vardas91514    Pavarde91514   9                        
Vardas23939    Pavarde23939   9                        
Vardas26675    Pavarde26675   9                        
Vardas37056    Pavarde37056   9                        
Vardas45971    Pavarde45971   9                        
Vardas6025     Pavarde6025    9                        
Vardas99974    Pavarde99974   9                        
Vardas196      Pavarde196     9                        
Vardas83148    Pavarde83148   9                        
Vardas98442    Pavarde98442   9                        
Vardas5833     Pavarde5833    9                        
Vardas9904     Pavarde9904    9                        
Vardas87533    Pavarde87533   9                        
Vardas28583    Pavarde28583   9                        
Vardas93273    Pavarde93273   9                        
Vardas82840    Pavarde82840   9                        
Vardas92684    Pavarde92684   9                        
Vardas16421    Pavarde16421   9                        
Vardas45609    Pavarde45609   9                        
Vardas92080    Pavarde92080   9                        
Vardas49855    Pavarde49855   9                        
Vardas84630    Pavarde84630   9                        
Vardas65168    Pavarde65168   9                        
Vardas91232    Pavarde91232   9                        
Vardas65359    Pavarde65359   9                        
Vardas43666    Pavarde43666   9                        
Vardas38095    Pavarde38095   9                        
Vardas567      Pavarde567     9                        
Vardas72080    Pavarde72080   9                        
Vardas89118    Pavarde89118   9                        
Vardas16910    Pavarde16910   9                        
Vardas14513    Pavarde14513   9                        
Vardas86810    Pavarde86810   9                        
Vardas93533    Pavarde93533   9                        
Vardas7732     Pavarde7732    9                        
Vardas79721    Pavarde79721   9                        
Vardas81849    Pavarde81849   9                        
Vardas84752    Pavarde84752   9                        
Vardas40481    Pavarde40481   9                        
Vardas50784    Pavarde50784   9                        
Vardas63125    Pavarde63125   9                        
Vardas11654    Pavarde11654   9                        
Vardas20383    Pavarde20383   9                        
Vardas61977    Pavarde61977   9                        
Vardas53419    Pavarde53419   9                        
Vardas88829    Pavarde88829   9                        
Vardas48148    Pavarde48148   9                        
Vardas27609    Pavarde27609   9                        
Vardas42035    Pavarde42035   9                        
